h3_id,events,fatalities,latitude,longitude
832da4fffffffff,6,1,35.5493604305314,33.412077517851
8349b5fffffffff,295,395,16.822587448677,-100.22942597181
83a8e8fffffffff,2,2,-16.8480365908054,-52.6045609068475
836a0cfffffffff,44,85,7.38180156678706,28.3985386600325
836d60fffffffff,20,22,12.9661404647581,-87.0434775863174
8358f1fffffffff,53,146,8.73433922650521,9.03834863965519
83a800fffffffff,1,1,-24.0537932640682,-49.7800972012231
838e62fffffffff,25,16,-12.3892168988606,-76.8125362431157
83a810fffffffff,124,93,-23.7094931111902,-46.6334850322877
8359abfffffffff,34,103,14.8184019813497,1.42315366539311
836b80fffffffff,21,17,7.73576916092236,18.3769901747747
832da8fffffffff,83,63,36.9242120829548,37.9086669325879
836844fffffffff,53,47,10.1775071060748,123.949833451803
834206fffffffff,63,28,25.7464569146505,61.9408358090272
8358c3fffffffff,29,1,6.96945675210308,11.3054135210271
8358c2fffffffff,204,26,6.9790188098059,10.2407203918856
8358f5fffffffff,301,603,9.61940560016374,8.42696254780988
835813fffffffff,62,63,11.3532836469932,5.05249453397433
8358aefffffffff,43,182,9.56449887783623,4.22624588858989
838ba2fffffffff,22,16,-14.3278347957519,-56.4930638642842
838af4fffffffff,10,6,-3.37642270318784,-60.7855152615764
838b16fffffffff,31,19,-15.7106697672603,-59.4522825927028
8349b0fffffffff,113,156,17.293389151461,-99.1234628823851
836d36fffffffff,62,69,18.2116920032727,-96.9063849628343
834990fffffffff,126,127,20.04742636868,-97.6935532588402
8352d3fffffffff,12,9,9.84522312374257,43.7660091626928
836b0afffffffff,195,129,12.1483585223381,24.7548782299698
832dacfffffffff,13,2,37.1342969700206,36.5286893752238
832db3fffffffff,143,122,32.1533165888364,36.3245119348493
835f59fffffffff,114,94,10.7417645546059,-61.9536059124648
83674cfffffffff,11,11,10.265607209693,-66.3353410648062
833da9fffffffff,6,2,28.6846525839835,80.560468776337
836498fffffffff,37,14,20.5701881912225,97.0011399140697
8358d6fffffffff,48,54,6.13897435127196,7.69873021363601
8366e8fffffffff,5,10,1.64546318995438,-72.5691238821308
832094fffffffff,6,6,35.5992075420803,68.407428350896
8366dcfffffffff,18,21,-0.133575741379577,-76.6707216824196
83660efffffffff,51,74,7.29002896165714,-74.0234737449485
836102fffffffff,4,0,6.56845221545634,80.7594385580593
832093fffffffff,68,45,34.4008890576246,70.8198912011166
83648efffffffff,72,94,18.3545930774599,96.3500408180659
8364a4fffffffff,2,1,14.1756636629395,100.622181312649
8348ecfffffffff,23,16,31.0850368198422,-111.341882146407
838113fffffffff,11,12,-11.0442893631595,-39.0443478797336
833c81fffffffff,2,0,21.402750891584,85.2027009713547
836a71fffffffff,64,143,8.07348099014752,32.3328429314099
836a58fffffffff,4,1,4.32593533850585,34.4278090066993
834201fffffffff,123,68,26.8191148086211,63.9878130759793
83588efffffffff,50,53,6.9914334294455,5.05191591495923
838134fffffffff,14,12,-16.2111876258251,-40.1679319113679
833d32fffffffff,20,8,31.9054105528324,75.377884311945
833d8afffffffff,2,1,24.9127575258734,80.8462072747138
839794fffffffff,58,70,-12.5476025111004,40.4175130319229
8358d0fffffffff,28,10,6.13143253005479,8.73432180036109
835853fffffffff,41,86,11.4526149494584,12.6885432534868
835800fffffffff,13,8,14.1302724749415,6.35878323188382
834c8bfffffffff,123,287,19.199397404954,-71.9900843047068
832d8cfffffffff,196,65,35.6285613282001,39.7341050150715
838115fffffffff,2,1,-12.7753301043248,-40.1079866341929
838046fffffffff,91,82,-0.867780684560189,-48.0591747138578
838b9dfffffffff,7,2,-9.83604496365506,-56.3154211564491
838044fffffffff,100,94,-1.43075066100701,-49.0837738981049
838124fffffffff,27,13,-16.7241428593793,-43.3100864587151
838baefffffffff,4,2,-13.0596877617905,-58.3800510640773
838ba0fffffffff,38,31,-14.7987865752816,-57.4875175713865
